,"School Name","Full Address","Street Address",City,State,"Zip Code",Country,"School Type",Website,Description,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
27,"Verde Valley Adventist School","51 W Mingus Ave, Cottonwood, AZ, 86326, USA","51 W Mingus Ave",Cottonwood,AZ,86326,USA,K-08,https://www.adventisteducation.org/schools/ANP490,[],34.738946,-112.028624,1,rooftop,51,"W Mingus Ave",,,Cottonwood,AZ,"Yavapai County",86326,US,Yavapai
28,"Yuma Adventist Christian School","1681 S 6th Ave, Yuma, AZ, 85364-5557, USA","1681 S 6th Ave",Yuma,AZ,85364-5557,USA,K-08,https://www.adventisteducation.org/schools/ANP495,[],32.697094,-114.626542,1,rooftop,1681,"S 6th Ave",,,Yuma,AZ,"Yuma County",85364,US,Yuma
29,"Bentonville SDA Preschool","2522 SE 14th St, Bentonville, AR, 72712-6960, USA","2522 SE 14th St",Bentonville,AR,72712-6960,USA,ECP,https://www.adventisteducation.org/schools/ANW42A,[],36.355049,-94.182245,1,rooftop,2522,"SE 14th St",,,Bentonville,AR,"Benton County",72712,US,"Arkansas Geographic Information Office"
30,"Bentonville SDA School","2522 SE 14th St, Bentonville, AR, 72712-6960, USA","2522 SE 14th St",Bentonville,AR,72712-6960,USA,PK-08,https://www.adventisteducation.org/schools/ANW413,"The Bentonville Seventh-day Adventist School is dedicated to the preparation of young people for unselfish service to God, their community and humanity.",36.355049,-94.182245,1,rooftop,2522,"SE 14th St",,,Bentonville,AR,"Benton County",72712,US,"Arkansas Geographic Information Office"
31,"Ewing Adventist Junior Academy","709 Adventist Church Rd, Bonnerdale, AR, 71933-6736, USA","709 Adventist Church Rd",Bonnerdale,AR,71933-6736,USA,PK-10,https://www.adventisteducation.org/schools/ANW416,"Ewing Adventist Junior Academy exists to show children Jesus, nurture their love for Him and others, teach them to think, equip them with academic excellence and empower them to serve.",34.362814,-93.396872,1,rooftop,709,"Adventist Church Rd",,,Bonnerdale,AR,"Hot Spring County",71933,US,"Arkansas Geographic Information Office"
32,"Harrison SDA School","4877 Highway 392 W, Harrison, AR, 72601-9698, USA","4877 Highway 392 W",Harrison,AR,72601-9698,USA,PK-08,https://www.adventisteducation.org/schools/ANW432,"The Harrison Seventh Day Adventist School recognizes God as the ultimate source of existence and truth. We encourage each student to reach their maximum best academically and personally.",36.235062,-93.186671,1,rooftop,4877,"Highway 392 W",,,Harrison,AR,"Boone County",72601,US,"Arkansas Geographic Information Office"
33,"Hot Springs Adventist School","401 Weston Rd, Hot Springs, AR, 71913-5356, USA","401 Weston Rd","Hot Springs",AR,71913-5356,USA,PK-08,https://www.adventisteducation.org/schools/ANW436,"Located on a scenic hilltop in beautiful Hot Springs, Arkansas, Hot Springs Adventist School offers Christian education for Kindergarten through 8th grade.",34.484432,-93.113419,1,rooftop,401,"Weston Rd",,,"Hot Springs National Park",AR,"Garland County",71913,US,Garland
34,"Little Rock Adventist Academy","8708 N Rodney Parham Rd, Little Rock, AR, 72205-1601, USA","8708 N Rodney Parham Rd","Little Rock",AR,72205-1601,USA,PK-10,https://www.adventisteducation.org/schools/ANW456,"The Little Rock Adventist Academy family exists to show children Jesus, nurture their love for Him and others, teach them to think, and empower them to serve.",34.757672,-92.371444,1,rooftop,8708,"N Rodney Parham Rd",,,"Little Rock",AR,"Pulaski County",72205,US,Pulaski
35,"Little Rock Adventist Preschool","8708 N Rodney Parham Rd, Little Rock, AR, 72205-1601, USA","8708 N Rodney Parham Rd","Little Rock",AR,72205-1601,USA,ECP,https://www.adventisteducation.org/schools/ANW42B,[],34.757672,-92.371444,1,rooftop,8708,"N Rodney Parham Rd",,,"Little Rock",AR,"Pulaski County",72205,US,Pulaski
36,"Ozark Adventist Academy","20997 Dawn Hill East Rd, Gentry, AR, 72734-8870, USA","20997 Dawn Hill East Rd",Gentry,AR,72734-8870,USA,9-12,https://www.adventisteducation.org/schools/ANW42Q,"Ozark Adventist Academy is a Christian co-educational college preparatory boarding school dedicated to educational excellence in a Christ-centered environment.",36.237494,-94.499217,1,rooftop,20997,"Dawn Hill East Rd",,,Gentry,AR,"Benton County",72734,US,"Arkansas Geographic Information Office"
37,"Ozark Adventist Preschool","21150 Dawn Hill East Rd, Gentry, AR, 72734-8895, USA","21150 Dawn Hill East Rd",Gentry,AR,72734-8895,USA,ECP,https://www.adventisteducation.org/schools/ANW42C,[],36.237162,-94.502729,1,rooftop,21150,"Dawn Hill East Rd",,,Gentry,AR,"Benton County",72734,US,"Arkansas Geographic Information Office"
38,"Ozark Adventist School","21150 Dawn Hill East Rd, Gentry, AR, 72734-8895, USA","21150 Dawn Hill East Rd",Gentry,AR,72734-8895,USA,PK-08,https://www.adventisteducation.org/schools/ANW468,"Ozark Adventist School, a Seventh-day Adventist Christian school, strives for each student to grow in a relationship with God, pursue academic excellence, and serve others.",36.237162,-94.502729,1,rooftop,21150,"Dawn Hill East Rd",,,Gentry,AR,"Benton County",72734,US,"Arkansas Geographic Information Office"
39,"Shiloh Excel Christian School","2420 S Maple St, Little Rock, AR, 72204-5420, USA","2420 S Maple St","Little Rock",AR,72204-5420,USA,PK-08,https://www.adventisteducation.org/schools/ANWB60,[],34.729339,-92.31528,1,range_interpolation,2420,"S Maple St",,,"Little Rock",AR,"Pulaski County",72204,US,"TIGER/Line® dataset from the US Census Bureau"
40,"A+ Adventist Children's Center","234 N Isabel St, Glendale, CA, 91206-4317, USA","234 N Isabel St",Glendale,CA,91206-4317,USA,ECP,https://www.adventisteducation.org/schools/ANPP13,[],34.148769,-118.248702,1,range_interpolation,234,"N Isabel St",,,Glendale,CA,"Los Angeles County",91206,US,"TIGER/Line® dataset from the US Census Bureau"
41,"ACES of Red Bluff","720 S Jackson St, Red Bluff, CA, 96080-4247, USA","720 S Jackson St","Red Bluff",CA,96080-4247,USA,K-08,https://www.adventisteducation.org/schools/ANPIA9,"Adventist Christian elementary Schools purpose is to help our children to know Jesus and develop academically to reach Gods highest potential for them.",40.163543,-122.238012,1,range_interpolation,720,"S Jackson St",,,"Red Bluff",CA,"Tehama County",96080,US,"TIGER/Line® dataset from the US Census Bureau"
42,"ACS of Yuba City","369 Harding Rd, Yuba City, CA, 95993-5114, USA","369 Harding Rd","Yuba City",CA,95993-5114,USA,K-08,https://www.adventisteducation.org/schools/ANPIF9,[],39.122132,-121.653635,1,rooftop,369,"Harding Rd",,,"Yuba City",CA,"Sutter County",95993,US,Sutter
43,"Adventist Edu. Simi Valley Preschool","1636 Sinaloa Rd, Simi Valley, CA, 93065-3034, USA","1636 Sinaloa Rd","Simi Valley",CA,93065-3034,USA,ECP,https://www.adventisteducation.org/schools/ANPP2I,[],34.268142,-118.785595,1,rooftop,1636,"Sinaloa Rd",,,"Simi Valley",CA,"Ventura County",93065,US,"Ventura County"
44,"Adventist Education Simi Valley","1636 Sinaloa Rd, Simi Valley, CA, 93065-3034, USA","1636 Sinaloa Rd","Simi Valley",CA,93065-3034,USA,K-08,https://www.adventisteducation.org/schools/ANPP84,[],34.268142,-118.785595,1,rooftop,1636,"Sinaloa Rd",,,"Simi Valley",CA,"Ventura County",93065,US,"Ventura County"
45,"Adventist Union School","15548 Santa Ana Ave, Bellflower, CA, 90706-3547, USA","15548 Santa Ana Ave",Bellflower,CA,90706-3547,USA,K-08,https://www.adventisteducation.org/schools/ANPP20,[],33.891708,-118.135375,1,rooftop,15548,"Santa Ana Ave",,,Bellflower,CA,"Los Angeles County",90706,US,"Indemnification Los Angeles County"
46,"Antelope Valley Adventist School","45002 Fern Ave, Lancaster, CA, 93534-2486, USA","45002 Fern Ave",Lancaster,CA,93534-2486,USA,K-08,https://www.adventisteducation.org/schools/ANPP24,"Antelope Valley Adventist School prepares students for a life of purpose and service by teaching critical thinking and nurturing a genuine love for Christ and others.",34.69997,-118.144376,1,rooftop,45002,"Fern Ave",,,Lancaster,CA,"Los Angeles County",93534,US,"Indemnification Los Angeles County"
47,"Armona Union Academy","14435 Locust St, Armona, CA, 93202, USA","14435 Locust St",Armona,CA,93202,USA,K-12,https://www.adventisteducation.org/schools/ANP816,"A TK-12 Seventh-day Adventist Christian school serving Kings and Tulare Counties since 1904",36.31693,-119.716688,1,rooftop,14435,"Locust St",,,Armona,CA,"Kings County",93202,US,"Kings County"
48,"Azure Hills Children's Center","22577 City Center Ct, Grand Terrace, CA, 92313-5563, USA","22577 City Center Ct","Grand Terrace",CA,92313-5563,USA,ECP,https://www.adventisteducation.org/schools/ANPMC2,[],34.032399,-117.313127,1,range_interpolation,22577,"City Center Ct",,,"Grand Terrace",CA,"San Bernardino County",92313,US,"TIGER/Line® dataset from the US Census Bureau"
49,"Bakersfield Adventist Academy","3333 Bernard St, Bakersfield, CA, 93306-3005, USA","3333 Bernard St",Bakersfield,CA,93306-3005,USA,K-12,https://www.adventisteducation.org/schools/ANP81B,[],35.391847,-118.957092,1,rooftop,3333,"Bernard St",,,Bakersfield,CA,"Kern County",93306,US,"City of Bakersfield"
50,"Bayside SDA Christian School","26400 Gading Rd, Hayward, CA, 94544-3617, USA","26400 Gading Rd",Hayward,CA,94544-3617,USA,PK-08,https://www.adventisteducation.org/schools/ANPI15,[],37.64306,-122.080842,1,rooftop,26400,"Gading Rd",,,Hayward,CA,"Alameda County",94544,US,"Alameda County"
51,"Bishop Adventist Christian School","730 Home St, Bishop, CA, 93514-2316, USA","730 Home St",Bishop,CA,93514-2316,USA,K-08,https://www.adventisteducation.org/schools/ANPF15,[],37.367485,-118.402055,1,rooftop,730,"Home St",,,Bishop,CA,"Inyo County",93514,US,"City of Bishop"
52,"Bishop Rainbow Connection","730 Home St, Bishop, CA, 93514-2316, USA","730 Home St",Bishop,CA,93514-2316,USA,ECP,https://www.adventisteducation.org/schools/ANPFBR,[],37.367485,-118.402055,1,rooftop,730,"Home St",,,Bishop,CA,"Inyo County",93514,US,"City of Bishop"
53,"Calexico Mission School","601 E 1st St, Calexico, CA, 92231-3022, USA","601 E 1st St",Calexico,CA,92231-3022,USA,K-12,https://www.adventisteducation.org/schools/ANPM18,"Calexico Mission School is a K-12th grade, Seventh-day Adventist academy with a 85-year tradition of providing academic excellence and service in a caring, Christian environment.",32.665746,-115.490721,1,range_interpolation,601,"E 1st St",,,Calexico,CA,"Imperial County",92231,US,"TIGER/Line® dataset from the US Census Bureau"
54,"Central Valley Christian Academy","2020 Academy Pl, Ceres, CA, 95307-1516, USA","2020 Academy Pl",Ceres,CA,95307-1516,USA,K-12,https://www.adventisteducation.org/schools/ANP82L,"Central Valley Christian Academy is a private Christian school located in Ceres, California.",37.606703,-120.957686,1,rooftop,2020,"Academy Pl",,,Ceres,CA,"Stanislaus County",95307,US,"Indemnification Stanislaus County"
55,"Chico Oaks Adventist School","1859 Hooker Oak Ave, Chico, CA, 95926-1738, USA","1859 Hooker Oak Ave",Chico,CA,95926-1738,USA,K-08,https://www.adventisteducation.org/schools/ANPI18,[],39.7545,-121.805022,1,rooftop,1859,"Hooker Oak Ave",,,Chico,CA,"Butte County",95926,US,"Butte County"
56,"Chowchilla Adventist School","22310 Road 13, Chowchilla, CA, 93610-8802, USA","22310 Road 13",Chowchilla,CA,93610-8802,USA,K-08,https://www.adventisteducation.org/schools/ANP818,"Chowchilla Adventist School, a Seventh-day Adventist Christian school, can give your student a Christian private school advantage. Students receive a quality, values-based education, safe and secure environment, committed staff, and low student/teacher ratio. Come grow with us!",37.073026,-120.311261,1,rooftop,22310,"Rd 13",,,Chowchilla,CA,"Madera County",93610,US,"Madera County"
57,"Clearlake SDA Christian School","15150 Davis Ave, Clearlake, CA, 95422-9078, USA","15150 Davis Ave",Clearlake,CA,95422-9078,USA,K-08,https://www.adventisteducation.org/schools/ANPI21,[],38.95494,-122.628542,1,rooftop,15150,"Davis Ave",,,Clearlake,CA,"Lake County",95422,US,"Lake County"
58,"Conejo Adventist Elementary School","1250 Academy Dr, Newbury Park, CA, 91320-1135, USA","1250 Academy Dr","Newbury Park",CA,91320-1135,USA,K-08,https://www.adventisteducation.org/schools/ANPP28,"Conejo Adventist Elementary School serves as a private, co-educational, Christian school located in Newbury Park, California for students enrolled in Kindergarten through 8th grade.",34.19262,-118.935381,1,range_interpolation,1250,"Academy Dr",,,"Newbury Park",CA,"Ventura County",91320,US,"TIGER/Line® dataset from the US Census Bureau"
59,"Conejo Adventist Preschool","1250 Academy Dr, Newbury Park, CA, 91320-1135, USA","1250 Academy Dr","Newbury Park",CA,91320-1135,USA,ECP,https://www.adventisteducation.org/schools/ANPP2E,[],34.19262,-118.935381,1,range_interpolation,1250,"Academy Dr",,,"Newbury Park",CA,"Ventura County",91320,US,"TIGER/Line® dataset from the US Census Bureau"
60,"Crescent City SDA School","1770 Northcrest Dr, Crescent City, CA, 95531-8921, USA","1770 Northcrest Dr","Crescent City",CA,95531-8921,USA,K-08,https://www.adventisteducation.org/schools/ANPI30,[],41.777751,-124.20034,1,rooftop,1770,"Northcrest Dr",,,"Crescent City",CA,"Del Norte County",95531,US,"Del Norte"
61,"CVCA Helping Hands Preschool","2020 Academy Pl, Ceres, CA, 95307-1516, USA","2020 Academy Pl",Ceres,CA,95307-1516,USA,ECP,https://www.adventisteducation.org/schools/ANP8HH,[],37.606703,-120.957686,1,rooftop,2020,"Academy Pl",,,Ceres,CA,"Stanislaus County",95307,US,"Indemnification Stanislaus County"
62,"Desert Adventist School","74200 Country Club Dr Ste 2, Palm Desert, CA, 92260-1688, USA","74200 Country Club Dr Ste 2","Palm Desert",CA,92260-1688,USA,K-08,https://www.adventisteducation.org/schools/ANPM72,[],33.758616,-116.370979,1,rooftop,74200,"Country Club Dr",Ste,2,"Palm Desert",CA,"Riverside County",92260,US,Riverside
63,"Dinuba Junior Academy","218 S Crawford Ave, Dinuba, CA, 93618-2507, USA","218 S Crawford Ave",Dinuba,CA,93618-2507,USA,K-08,https://www.adventisteducation.org/schools/ANP821,"Dinuba Jr Academy offers a Christ-centered environment in which your child can grow and succeed.",36.5445,-119.376543,1,rooftop,218,"S Crawford Ave",,,Dinuba,CA,"Tulare County",93618,US,Tulare
64,"Discoveryland Child Care Center","4400 Del Amo Blvd, Torrance, CA, 90503-2121, USA","4400 Del Amo Blvd",Torrance,CA,90503-2121,USA,ECP,https://www.adventisteducation.org/schools/ANPP2D,[],33.848191,-118.359727,1,rooftop,4400,"Del Amo Blvd",,,Torrance,CA,"Los Angeles County",90503,US,"Indemnification Los Angeles County"
65,"East Valley Adventist School","3554 Maine Ave, Baldwin Park, CA, 91706-5153, USA","3554 Maine Ave","Baldwin Park",CA,91706-5153,USA,K-08,https://www.adventisteducation.org/schools/ANPP40,[],34.076791,-117.968787,1,rooftop,3554,"Maine Ave",,,"Baldwin Park",CA,"Los Angeles County",91706,US,"Indemnification Los Angeles County"
66,"Echo Ridge Christian School","15504 Liberty Cir, Nevada City, CA, 95959-9636, USA","15504 Liberty Cir","Nevada City",CA,95959-9636,USA,K-08,https://www.adventisteducation.org/schools/ANPI34,"Imagine your child equipped for this world and prepared for the world to come We exist to cultivate servant-leaders, dedicated to God’s calling. They will make a difference.",39.24626,-121.054461,1,rooftop,15504,"Liberty Cir",,,"Nevada City",CA,"Nevada County",95959,US,"County of Nevada, California"
67,"El Cajon SDA School","1640 E Madison Ave, El Cajon, CA, 92019-1045, USA","1640 E Madison Ave","El Cajon",CA,92019-1045,USA,K-08,https://www.adventisteducation.org/schools/ANPM21,[],32.803229,-116.92089,1,rooftop,1640,"E Madison Ave",,,"El Cajon",CA,"San Diego County",92019,US,"San Diego Geographic Information Source - JPA"
68,"El Dorado Adventist School","1900 Broadway, Placerville, CA, 95667-6003, USA","1900 Broadway",Placerville,CA,95667-6003,USA,K-08,https://www.adventisteducation.org/schools/ANPI1E,[],38.728686,-120.759423,1,rooftop,1900,Broadway,,,Placerville,CA,"El Dorado County",95667,US,"El Dorando County"
69,"Escondido Adventist Academy","1301 Deodar Rd, Escondido, CA, 92026-2210, USA","1301 Deodar Rd",Escondido,CA,92026-2210,USA,K-12,https://www.adventisteducation.org/schools/ANPM1H,"The mission of Escondido Adventist Academy is to educate the head, the hand and the heart.",33.140243,-117.105813,1,rooftop,1301,"Deodar Rd",,,Escondido,CA,"San Diego County",92026,US,"San Diego Geographic Information Source - JPA"
70,"Feather River Adventist School","27 Cox Ln, Oroville, CA, 95965-9660, USA","27 Cox Ln",Oroville,CA,95965-9660,USA,K-08,https://www.adventisteducation.org/schools/ANPI42,[],39.383379,-121.610164,1,rooftop,27,"Cox Ln",,,Oroville,CA,"Butte County",95965,US,"Butte County"
71,"Foothill SDA Elementary","1991 Landess Ave, Milpitas, CA, 95035-7071, USA","1991 Landess Ave",Milpitas,CA,95035-7071,USA,K-08,https://www.adventisteducation.org/schools/ANP824,[],37.419424,-121.868508,1,rooftop,1991,"Landess Ave",,,Milpitas,CA,"Santa Clara County",95035,US,"Santa Clara County"
