,School Name,Full Address,Street Address,City,State,Zip Code,Country,School Type,Website,Description
25,Thunderbird Adventist Academy,"7410 E Sutton Dr, Scottsdale, AZ, 85260-3915, USA",7410 E Sutton Dr,Scottsdale,AZ,85260-3915,USA,9-12,https://www.adventisteducation.org/schools/ANP43Q,"Our mission is for each of our students to EXCEL: to EXperience Jesus, to Communicate clearly and think critically, to Embrace service and citizenship, and to Live healthfully in body and mind."
26,Thunderbird Christian Elementary,"7440 E Sutton Dr, Scottsdale, AZ, 85260-3915, USA",7440 E Sutton Dr,Scottsdale,AZ,85260-3915,USA,K-08,https://www.adventisteducation.org/schools/ANP415,We are an Adventist educational institution that is committed to excellence in all we do. We encourage our students to be motivated thinkers and lifelong learners. It is vital that we meet the students where they are and encourage hem to teach their potential. We strive to provide a well-rounded education including hands on experimental learning through STEM activities and enrichment programs. We strive to show our students how to be like Christ by using their knowledge and talents to serve others.
27,Verde Valley Adventist School,"51 W Mingus Ave, Cottonwood, AZ, 86326, USA",51 W Mingus Ave,Cottonwood,AZ,86326,USA,K-08,https://www.adventisteducation.org/schools/ANP490,[]
28,Yuma Adventist Christian School,"1681 S 6th Ave, Yuma, AZ, 85364-5557, USA",1681 S 6th Ave,Yuma,AZ,85364-5557,USA,K-08,https://www.adventisteducation.org/schools/ANP495,[]
29,Bentonville SDA Preschool,"2522 SE 14th St, Bentonville, AR, 72712-6960, USA",2522 SE 14th St,Bentonville,AR,72712-6960,USA,ECP,https://www.adventisteducation.org/schools/ANW42A,[]
30,Bentonville SDA School,"2522 SE 14th St, Bentonville, AR, 72712-6960, USA",2522 SE 14th St,Bentonville,AR,72712-6960,USA,PK-08,https://www.adventisteducation.org/schools/ANW413,"The Bentonville Seventh-day Adventist School is dedicated to the preparation of young people for unselfish service to God, their community and humanity."
31,Ewing Adventist Junior Academy,"709 Adventist Church Rd, Bonnerdale, AR, 71933-6736, USA",709 Adventist Church Rd,Bonnerdale,AR,71933-6736,USA,PK-10,https://www.adventisteducation.org/schools/ANW416,"Ewing Adventist Junior Academy exists to show children Jesus, nurture their love for Him and others, teach them to think, equip them with academic excellence and empower them to serve."
32,Harrison SDA School,"4877 Highway 392 W, Harrison, AR, 72601-9698, USA",4877 Highway 392 W,Harrison,AR,72601-9698,USA,PK-08,https://www.adventisteducation.org/schools/ANW432,The Harrison Seventh Day Adventist School recognizes God as the ultimate source of existence and truth. We encourage each student to reach their maximum best academically and personally.
33,Hot Springs Adventist School,"401 Weston Rd, Hot Springs, AR, 71913-5356, USA",401 Weston Rd,Hot Springs,AR,71913-5356,USA,PK-08,https://www.adventisteducation.org/schools/ANW436,"Located on a scenic hilltop in beautiful Hot Springs, Arkansas, Hot Springs Adventist School offers Christian education for Kindergarten through 8th grade."
34,Little Rock Adventist Academy,"8708 N Rodney Parham Rd, Little Rock, AR, 72205-1601, USA",8708 N Rodney Parham Rd,Little Rock,AR,72205-1601,USA,PK-10,https://www.adventisteducation.org/schools/ANW456,"The Little Rock Adventist Academy family exists to show children Jesus, nurture their love for Him and others, teach them to think, and empower them to serve."
35,Little Rock Adventist Preschool,"8708 N Rodney Parham Rd, Little Rock, AR, 72205-1601, USA",8708 N Rodney Parham Rd,Little Rock,AR,72205-1601,USA,ECP,https://www.adventisteducation.org/schools/ANW42B,[]
36,Ozark Adventist Academy,"20997 Dawn Hill East Rd, Gentry, AR, 72734-8870, USA",20997 Dawn Hill East Rd,Gentry,AR,72734-8870,USA,9-12,https://www.adventisteducation.org/schools/ANW42Q,Ozark Adventist Academy is a Christian co-educational college preparatory boarding school dedicated to educational excellence in a Christ-centered environment.
37,Ozark Adventist Preschool,"21150 Dawn Hill East Rd, Gentry, AR, 72734-8895, USA",21150 Dawn Hill East Rd,Gentry,AR,72734-8895,USA,ECP,https://www.adventisteducation.org/schools/ANW42C,[]
38,Ozark Adventist School,"21150 Dawn Hill East Rd, Gentry, AR, 72734-8895, USA",21150 Dawn Hill East Rd,Gentry,AR,72734-8895,USA,PK-08,https://www.adventisteducation.org/schools/ANW468,"Ozark Adventist School, a Seventh-day Adventist Christian school, strives for each student to grow in a relationship with God, pursue academic excellence, and serve others."
39,Shiloh Excel Christian School,"2420 S Maple St, Little Rock, AR, 72204-5420, USA",2420 S Maple St,Little Rock,AR,72204-5420,USA,PK-08,https://www.adventisteducation.org/schools/ANWB60,[]
40,A+ Adventist Children's Center,"234 N Isabel St, Glendale, CA, 91206-4317, USA",234 N Isabel St,Glendale,CA,91206-4317,USA,ECP,https://www.adventisteducation.org/schools/ANPP13,[]
41,ACES of Red Bluff,"720 S Jackson St, Red Bluff, CA, 96080-4247, USA",720 S Jackson St,Red Bluff,CA,96080-4247,USA,K-08,https://www.adventisteducation.org/schools/ANPIA9,Adventist Christian elementary Schools purpose is to help our children to know Jesus and develop academically to reach Gods highest potential for them.
42,ACS of Yuba City,"369 Harding Rd, Yuba City, CA, 95993-5114, USA",369 Harding Rd,Yuba City,CA,95993-5114,USA,K-08,https://www.adventisteducation.org/schools/ANPIF9,[]
43,Adventist Edu. Simi Valley Preschool,"1636 Sinaloa Rd, Simi Valley, CA, 93065-3034, USA",1636 Sinaloa Rd,Simi Valley,CA,93065-3034,USA,ECP,https://www.adventisteducation.org/schools/ANPP2I,[]
44,Adventist Education Simi Valley,"1636 Sinaloa Rd, Simi Valley, CA, 93065-3034, USA",1636 Sinaloa Rd,Simi Valley,CA,93065-3034,USA,K-08,https://www.adventisteducation.org/schools/ANPP84,[]
45,Adventist Union School,"15548 Santa Ana Ave, Bellflower, CA, 90706-3547, USA",15548 Santa Ana Ave,Bellflower,CA,90706-3547,USA,K-08,https://www.adventisteducation.org/schools/ANPP20,[]
46,Antelope Valley Adventist School,"45002 Fern Ave, Lancaster, CA, 93534-2486, USA",45002 Fern Ave,Lancaster,CA,93534-2486,USA,K-08,https://www.adventisteducation.org/schools/ANPP24,Antelope Valley Adventist School prepares students for a life of purpose and service by teaching critical thinking and nurturing a genuine love for Christ and others.
47,Armona Union Academy,"14435 Locust St, Armona, CA, 93202, USA",14435 Locust St,Armona,CA,93202,USA,K-12,https://www.adventisteducation.org/schools/ANP816,A TK-12 Seventh-day Adventist Christian school serving Kings and Tulare Counties since 1904
48,Azure Hills Children's Center,"22577 City Center Ct, Grand Terrace, CA, 92313-5563, USA",22577 City Center Ct,Grand Terrace,CA,92313-5563,USA,ECP,https://www.adventisteducation.org/schools/ANPMC2,[]
49,Bakersfield Adventist Academy,"3333 Bernard St, Bakersfield, CA, 93306-3005, USA",3333 Bernard St,Bakersfield,CA,93306-3005,USA,K-12,https://www.adventisteducation.org/schools/ANP81B,[]
50,Bayside SDA Christian School,"26400 Gading Rd, Hayward, CA, 94544-3617, USA",26400 Gading Rd,Hayward,CA,94544-3617,USA,PK-08,https://www.adventisteducation.org/schools/ANPI15,[]
51,Bishop Adventist Christian School,"730 Home St, Bishop, CA, 93514-2316, USA",730 Home St,Bishop,CA,93514-2316,USA,K-08,https://www.adventisteducation.org/schools/ANPF15,[]
52,Bishop Rainbow Connection,"730 Home St, Bishop, CA, 93514-2316, USA",730 Home St,Bishop,CA,93514-2316,USA,ECP,https://www.adventisteducation.org/schools/ANPFBR,[]
53,Calexico Mission School,"601 E 1st St, Calexico, CA, 92231-3022, USA",601 E 1st St,Calexico,CA,92231-3022,USA,K-12,https://www.adventisteducation.org/schools/ANPM18,"Calexico Mission School is a K-12th grade, Seventh-day Adventist academy with a 85-year tradition of providing academic excellence and service in a caring, Christian environment."
54,Central Valley Christian Academy,"2020 Academy Pl, Ceres, CA, 95307-1516, USA",2020 Academy Pl,Ceres,CA,95307-1516,USA,K-12,https://www.adventisteducation.org/schools/ANP82L,"Central Valley Christian Academy is a private Christian school located in Ceres, California."
55,Chico Oaks Adventist School,"1859 Hooker Oak Ave, Chico, CA, 95926-1738, USA",1859 Hooker Oak Ave,Chico,CA,95926-1738,USA,K-08,https://www.adventisteducation.org/schools/ANPI18,[]
56,Chowchilla Adventist School,"22310 Road 13, Chowchilla, CA, 93610-8802, USA",22310 Road 13,Chowchilla,CA,93610-8802,USA,K-08,https://www.adventisteducation.org/schools/ANP818,"Chowchilla Adventist School, a Seventh-day Adventist Christian school, can give your student a Christian private school advantage. Students receive a quality, values-based education, safe and secure environment, committed staff, and low student/teacher ratio. Come grow with us!"
57,Clearlake SDA Christian School,"15150 Davis Ave, Clearlake, CA, 95422-9078, USA",15150 Davis Ave,Clearlake,CA,95422-9078,USA,K-08,https://www.adventisteducation.org/schools/ANPI21,[]
58,Conejo Adventist Elementary School,"1250 Academy Dr, Newbury Park, CA, 91320-1135, USA",1250 Academy Dr,Newbury Park,CA,91320-1135,USA,K-08,https://www.adventisteducation.org/schools/ANPP28,"Conejo Adventist Elementary School serves as a private, co-educational, Christian school located in Newbury Park, California for students enrolled in Kindergarten through 8th grade."
59,Conejo Adventist Preschool,"1250 Academy Dr, Newbury Park, CA, 91320-1135, USA",1250 Academy Dr,Newbury Park,CA,91320-1135,USA,ECP,https://www.adventisteducation.org/schools/ANPP2E,[]
60,Crescent City SDA School,"1770 Northcrest Dr, Crescent City, CA, 95531-8921, USA",1770 Northcrest Dr,Crescent City,CA,95531-8921,USA,K-08,https://www.adventisteducation.org/schools/ANPI30,[]
61,CVCA Helping Hands Preschool,"2020 Academy Pl, Ceres, CA, 95307-1516, USA",2020 Academy Pl,Ceres,CA,95307-1516,USA,ECP,https://www.adventisteducation.org/schools/ANP8HH,[]
62,Desert Adventist School,"74200 Country Club Dr Ste 2, Palm Desert, CA, 92260-1688, USA",74200 Country Club Dr Ste 2,Palm Desert,CA,92260-1688,USA,K-08,https://www.adventisteducation.org/schools/ANPM72,[]
63,Dinuba Junior Academy,"218 S Crawford Ave, Dinuba, CA, 93618-2507, USA",218 S Crawford Ave,Dinuba,CA,93618-2507,USA,K-08,https://www.adventisteducation.org/schools/ANP821,Dinuba Jr Academy offers a Christ-centered environment in which your child can grow and succeed.
64,Discoveryland Child Care Center,"4400 Del Amo Blvd, Torrance, CA, 90503-2121, USA",4400 Del Amo Blvd,Torrance,CA,90503-2121,USA,ECP,https://www.adventisteducation.org/schools/ANPP2D,[]
65,East Valley Adventist School,"3554 Maine Ave, Baldwin Park, CA, 91706-5153, USA",3554 Maine Ave,Baldwin Park,CA,91706-5153,USA,K-08,https://www.adventisteducation.org/schools/ANPP40,[]
66,Echo Ridge Christian School,"15504 Liberty Cir, Nevada City, CA, 95959-9636, USA",15504 Liberty Cir,Nevada City,CA,95959-9636,USA,K-08,https://www.adventisteducation.org/schools/ANPI34,"Imagine your child equipped for this world and prepared for the world to come We exist to cultivate servant-leaders, dedicated to God’s calling. They will make a difference."
67,El Cajon SDA School,"1640 E Madison Ave, El Cajon, CA, 92019-1045, USA",1640 E Madison Ave,El Cajon,CA,92019-1045,USA,K-08,https://www.adventisteducation.org/schools/ANPM21,[]
68,El Dorado Adventist School,"1900 Broadway, Placerville, CA, 95667-6003, USA",1900 Broadway,Placerville,CA,95667-6003,USA,K-08,https://www.adventisteducation.org/schools/ANPI1E,[]
69,Escondido Adventist Academy,"1301 Deodar Rd, Escondido, CA, 92026-2210, USA",1301 Deodar Rd,Escondido,CA,92026-2210,USA,K-12,https://www.adventisteducation.org/schools/ANPM1H,"The mission of Escondido Adventist Academy is to educate the head, the hand and the heart."
70,Feather River Adventist School,"27 Cox Ln, Oroville, CA, 95965-9660, USA",27 Cox Ln,Oroville,CA,95965-9660,USA,K-08,https://www.adventisteducation.org/schools/ANPI42,[]
71,Foothill SDA Elementary,"1991 Landess Ave, Milpitas, CA, 95035-7071, USA",1991 Landess Ave,Milpitas,CA,95035-7071,USA,K-08,https://www.adventisteducation.org/schools/ANP824,[]
72,Foothills Adventist Elementary School,"711 Sunnyside Rd, Saint Helena, CA, 94574-9742, USA",711 Sunnyside Rd,Saint Helena,CA,94574-9742,USA,K-08,https://www.adventisteducation.org/schools/ANPI45,[]
73,Fortuna Junior Academy,"1200 Ross Hill Rd, Fortuna, CA, 95540-3402, USA",1200 Ross Hill Rd,Fortuna,CA,95540-3402,USA,K-08,https://www.adventisteducation.org/schools/ANPI51,Fortuna Junior Academy is dedicated to nurturing students in a desire to know God and contribute to their earthly community and the Kingdom of God.
74,Fresno Adventist Academy,"5397 E Olive Ave, Fresno, CA, 93727-2522, USA",5397 E Olive Ave,Fresno,CA,93727-2522,USA,K-12,https://www.adventisteducation.org/schools/ANP81V,[]
75,Galt Adventist School,"619 Myrtle Ave, Galt, CA, 95632-1725, USA",619 Myrtle Ave,Galt,CA,95632-1725,USA,K-08,https://www.adventisteducation.org/schools/ANPI54,[]
76,Glendale Adventist Academy,"700 Kimlin Dr, Glendale, CA, 91206-1641, USA",700 Kimlin Dr,Glendale,CA,91206-1641,USA,K-12,https://www.adventisteducation.org/schools/ANPP21,[]
77,Hilltop Christian Preschool,"2200 Country Hills Dr, Antioch, CA, 94509-7403, USA",2200 Country Hills Dr,Antioch,CA,94509-7403,USA,ECP,https://www.adventisteducation.org/schools/ANPIHC,[]
78,Hilltop Christian School,"2200 Country Hills Dr, Antioch, CA, 94509-7403, USA",2200 Country Hills Dr,Antioch,CA,94509-7403,USA,K-08,https://www.adventisteducation.org/schools/ANPI13,"Hilltop Christian School exists to show children Jesus, nurture their love for Him and other, teach them to think and empower them to serve."
79,Hollister SDA Christian School,"400 Isabel Lane, Hollister, CA, 95023, USA",400 Isabel Lane,Hollister,CA,95023,USA,K-08,https://www.adventisteducation.org/schools/ANP833,[]
80,Iruka Yochien Preschool,"2120 S Stimson Ave, Hacienda Heights, CA, 91745-4625, USA",2120 S Stimson Ave,Hacienda Heights,CA,91745-4625,USA,ECP,https://www.adventisteducation.org/schools/ANPP23,[]
81,Kiddie Kollege Christian Preschool,"95 N Forest Rd, Sonora, CA, 95370-4815, USA",95 N Forest Rd,Sonora,CA,95370-4815,USA,ECP,https://www.adventisteducation.org/schools/ANP8SK,[]
82,Kingdom Kids Christian Preschool,"5810 Pecan Ave, Orangevale, CA, 95662-4623, USA",5810 Pecan Ave,Orangevale,CA,95662-4623,USA,ECP,https://www.adventisteducation.org/schools/ANPIKK,[]
83,La Sierra Academy,"4900 Golden Ave, Riverside, CA, 92505-3225, USA",4900 Golden Ave,Riverside,CA,92505-3225,USA,K-12,https://www.adventisteducation.org/schools/ANPM2B,[]
84,La Sierra Academy Children's Center,"4900 Golden Ave, Riverside, CA, 92505-3225, USA",4900 Golden Ave,Riverside,CA,92505-3225,USA,ECP,https://www.adventisteducation.org/schools/ANPM2A,[]
85,La Sierra University,"4500 Riverwalk Pkwy, Riverside, CA, 92505-3344, USA",4500 Riverwalk Pkwy,Riverside,CA,92505-3344,USA,University,https://www.adventisteducation.org/schools/ANP12L,[]
86,Laguna Niguel Junior Academy,"29702 Kensington Dr, Laguna Niguel, CA, 92677-1658, USA",29702 Kensington Dr,Laguna Niguel,CA,92677-1658,USA,K-08,https://www.adventisteducation.org/schools/ANPM45,[]
87,Linda Vista Adventist School,"5050 Perry Way, Oxnard, CA, 93036-1032, USA",5050 Perry Way,Oxnard,CA,93036-1032,USA,K-08,https://www.adventisteducation.org/schools/ANPP52,[]
88,Lodi Academy,"1230 S Central Ave, Lodi, CA, 95240-5907, USA",1230 S Central Ave,Lodi,CA,95240-5907,USA,9-12,https://www.adventisteducation.org/schools/ANPI2C,[]
89,Lodi SDA Elementary School,"1240 S Central Ave, Lodi, CA, 95240-5907, USA",1240 S Central Ave,Lodi,CA,95240-5907,USA,K-08,https://www.adventisteducation.org/schools/ANPI69,[]
90,Loma Linda Academy,"10656 Anderson St, Loma Linda, CA, 92354-2104, USA",10656 Anderson St,Loma Linda,CA,92354-2104,USA,K-12,https://www.adventisteducation.org/schools/ANPM2E,"A prek-12 school/children's center, Loma Linda Academy's mission is for students to grow in God’s grace, thrive intellectually, develop true friendships, embrace healthful living."
91,Loma Linda Academy Children's Center,"25228 Shepardson Dr, Loma Linda, CA, 92354-2954, USA",25228 Shepardson Dr,Loma Linda,CA,92354-2954,USA,ECP,https://www.adventisteducation.org/schools/ANPMLO,[]
92,Loma Linda University,"11092 Anderson St, Loma Linda, CA, 92350-1706, USA",11092 Anderson St,Loma Linda,CA,92350-1706,USA,University,https://www.adventisteducation.org/schools/A1112L,[]
93,Los Angeles Adventist Academy,"846 E El Segundo Blvd, Los Angeles, CA, 90059-3310, USA",846 E El Segundo Blvd,Los Angeles,CA,90059-3310,USA,K-08,https://www.adventisteducation.org/schools/ANPP2G,[]
94,Los Angeles Discoveryland Preschool,"846 E El Segundo Blvd, Los Angeles, CA, 90059-3310, USA",846 E El Segundo Blvd,Los Angeles,CA,90059-3310,USA,ECP,https://www.adventisteducation.org/schools/ANPP2C,[]
95,Los Banos Adventist Christian School,"404 Overland Rd, Los Banos, CA, 93635-9708, USA",404 Overland Rd,Los Banos,CA,93635-9708,USA,K-08,https://www.adventisteducation.org/schools/ANP845,[]
96,Mentone SDA School,"1230 Olivine Ave, Mentone, CA, 92359-1222, USA",1230 Olivine Ave,Mentone,CA,92359-1222,USA,K-08,https://www.adventisteducation.org/schools/ANPMAA,[]
97,Mesa Grande Academy,"975 Fremont St, Calimesa, CA, 92320-1439, USA",975 Fremont St,Calimesa,CA,92320-1439,USA,K-12,https://www.adventisteducation.org/schools/ANPM2M,[]
98,Mesa Grande Academy Children's Center,"940 2nd St, Calimesa, CA, 92320-1202, USA",940 2nd St,Calimesa,CA,92320-1202,USA,ECP,https://www.adventisteducation.org/schools/ANPM2C,[]
99,Middletown Adventist School,"21640 S State Highway 29, Middletown, CA, 95461, USA",21640 S State Highway 29,Middletown,CA,95461,USA,K-08,https://www.adventisteducation.org/schools/ANPI75,[]
100,Milpitas Discoveryland,"1991 Landess Ave, Milpitas, CA, 95035-7071, USA",1991 Landess Ave,Milpitas,CA,95035-7071,USA,ECP,https://www.adventisteducation.org/schools/ANP8MD,[]
101,Miramonte Christian School,"1175 Altamead Dr, Los Altos, CA, 94024-5502, USA",1175 Altamead Dr,Los Altos,CA,94024-5502,USA,K-08,https://www.adventisteducation.org/schools/ANP851,[]
102,Monterey Bay Academy,"783 San Andreas Rd, La Selva Beach, CA, 95076-1907, USA",783 San Andreas Rd,La Selva Beach,CA,95076-1907,USA,9-12,https://www.adventisteducation.org/schools/ANP82O,[]
103,Mother Lode Adventist Junior Academy,"80 N Forest Rd, Sonora, CA, 95370-4801, USA",80 N Forest Rd,Sonora,CA,95370-4801,USA,K-10,https://www.adventisteducation.org/schools/ANP857,[]
104,Mountain View Academy,"360 S Shoreline Blvd, Mountain View, CA, 94041-1210, USA",360 S Shoreline Blvd,Mountain View,CA,94041-1210,USA,9-12,https://www.adventisteducation.org/schools/ANP82Q,"Mountain View Academy, a Seventh-day Adventist Christian high school, provides a strong curriculum that focuses on developing the whole student spiritually, intellectually, physically, and socially."
105,Murrieta Springs Adventist Christian Sch,"32477 Starbuck Cir, Murrieta, CA, 92562-4207, USA",32477 Starbuck Cir,Murrieta,CA,92562-4207,USA,K-08,https://www.adventisteducation.org/schools/ANPMMW,[]
106,Napa Christian Campus of Ed,"2201 Pine St, Napa, CA, 94559-3120, USA",2201 Pine St,Napa,CA,94559-3120,USA,K-12,https://www.adventisteducation.org/schools/ANPI2K,[]
107,Needles SDA School,"1405 Lillyhill Dr, Needles, CA, 92363-3422, USA",1405 Lillyhill Dr,Needles,CA,92363-3422,USA,K-08,https://www.adventisteducation.org/schools/ANPM66,[]
108,Newbury Park Adventist Academy,"180 Academy Dr, Newbury Park, CA, 91320-1102, USA",180 Academy Dr,Newbury Park,CA,91320-1102,USA,K-08,https://www.adventisteducation.org/schools/ANPP2S,[]
109,Oceanside Adventist Elementary,"1943 California St, Oceanside, CA, 92054-5603, USA",1943 California St,Oceanside,CA,92054-5603,USA,K-08,https://www.adventisteducation.org/schools/ANPMOC,Oceanside Adventist Elementary is dedicated to offering quality Christian education at an affordable price and preparing students to make a positive difference in their communities.
110,Orangevale SDA School,"5810 Pecan Ave, Orangevale, CA, 95662-4623, USA",5810 Pecan Ave,Orangevale,CA,95662-4623,USA,K-08,https://www.adventisteducation.org/schools/ANPI93,[]
111,Orangewood Academy,"13732 Clinton St, Garden Grove, CA, 92843-4113, USA",13732 Clinton St,Garden Grove,CA,92843-4113,USA,K-12,https://www.adventisteducation.org/schools/ANPM2W,[]
112,Pacific Union College,"1 Angwin Ave, Angwin, CA, 94508-9713, USA",1 Angwin Ave,Angwin,CA,94508-9713,USA,University,https://www.adventisteducation.org/schools/ANP12Y,[]
113,Paradise Adventist Academy,"5699 Academy Dr, Paradise, CA, 95969-4702, USA",5699 Academy Dr,Paradise,CA,95969-4702,USA,9-12,https://www.adventisteducation.org/schools/ANPIPA,[]
114,Paradise Adventist Elementary School,"5699 Academy Dr, Paradise, CA, 95969-4702, USA",5699 Academy Dr,Paradise,CA,95969-4702,USA,K-08,https://www.adventisteducation.org/schools/ANPI96,[]
115,Peninsula Adventist School,"1025 Mescal St, Seaside, CA, 93955-6109, USA",1025 Mescal St,Seaside,CA,93955-6109,USA,K-08,https://www.adventisteducation.org/schools/ANP869,[]
116,Pine Hills Adventist Academy,"13500 Richards Ln, Auburn, CA, 95603-9071, USA",13500 Richards Ln,Auburn,CA,95603-9071,USA,K-08,https://www.adventisteducation.org/schools/ANPI99,[]
