School Name,Full Address,Street Address,Street Number,Street,City,County,State/Province,Zip (5-digit),Zip (full),Country,School Type,Website,Description,Latitude,Longitude,Preschool,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,University/College
Fort Collins Christian School,"2040 Nancy Gray Ave, Fort Collins, CO, 80525-4394, USA",2040 Nancy Gray Ave,2040,Nancy Gray Ave,Fort Collins,Larimer County,CO,80525,80525-4394,USA,PK-08,https://www.adventisteducation.org/schools/ANGM54,,40.558442,-105.040509,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Fort Collins Christian School Preschool,"2040 Nancy Gray Ave, Fort Collins, CO, 80525-4394, USA",2040 Nancy Gray Ave,2040,Nancy Gray Ave,Fort Collins,Larimer County,CO,80525,80525-4394,USA,ECP,https://www.adventisteducation.org/schools/ANGM2A,,40.558442,-105.040509,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ft Morgan Lighthouse  Christian School,"PO Box 860, Fort Morgan, CO, 80701-0860, USA",PO Box 860,860,PO Box,Fort Morgan,Morgan County,CO,80701,80701-0860,USA,PK-08,https://www.adventisteducation.org/schools/ANGMLC,,40.262591,-103.847648,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
HMS Richards SDA School,"342 42nd St SW, Loveland, CO, 80537-7520, USA",342 42nd St SW,342,42nd St SW,Loveland,Larimer County,CO,80537,80537-7520,USA,PK-08,https://www.adventisteducation.org/schools/ANGM66,Know: Jesus. Grow: In Knowledge and Character.  Go: Change the World.,40.349251,-105.084114,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Intermountain Adventist Academy,"550 25 1/2 Rd, Grand Junction, CO, 81505-6925, USA",550 25 1/2 Rd,550,25 1/2 Rd,Grand Junction,Mesa County,CO,81505,81505-6925,USA,PK-08,https://www.adventisteducation.org/schools/ANGM69,Intermountain Adventist Academy is a K-10 Christian school committed to providing quality education in a Christ-filled environment. We have been serving the Grand Valley since opening in early 1900.,39.085081,-108.579527,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Mile High Academy Preschool,"1733 Dad Clark Dr, Highlands Ranch, CO, 80126-2415, USA",1733 Dad Clark Dr,1733,Dad Clark Dr,Highlands Ranch,Douglas County,CO,80126,80126-2415,USA,ECP,https://www.adventisteducation.org/schools/ANGM28,,39.562659,-104.967794,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mile High Adventist Academy,"1733 Dad Clark Dr, Highlands Ranch, CO, 80126-2415, USA",1733 Dad Clark Dr,1733,Dad Clark Dr,Highlands Ranch,Douglas County,CO,80126,80126-2415,USA,PK-12,https://www.adventisteducation.org/schools/ANGM2R,"Mile High Academy is a community focused on learning, exploring, and serving.  We are intentional about shaping hearts and minds for Jesus.",39.562659,-104.967794,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Springs Adventist Academy,"5410 Palmer Park Blvd, Colorado Springs, CO, 80915-1498, USA",5410 Palmer Park Blvd,5410,Palmer Park Blvd,Colorado Springs,El Paso County,CO,80915,80915-1498,USA,PK-08,https://www.adventisteducation.org/schools/ANGM39,,38.856503,-104.727286,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Vista Ridge Academy,"3100 Ridgeview Dr, Erie, CO, 80516-7981, USA",3100 Ridgeview Dr,3100,Ridgeview Dr,Erie,Weld County,CO,80516,80516-7981,USA,PK-08,https://www.adventisteducation.org/schools/ANGM24,"At Vista Ridge Academy, our commitment to excellence is demonstrated in an environment that shares God’s love in a real and personal way and teaches students about a life-long and spirit-filled relationship with Jesus Christ.",40.003204,-105.017094,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Vista Ridge Academy Preschool,"3100 Ridgeview Dr, Erie, CO, 80516-7981, USA",3100 Ridgeview Dr,3100,Ridgeview Dr,Erie,Weld County,CO,80516,80516-7981,USA,ECP,https://www.adventisteducation.org/schools/ANGM29,,40.003204,-105.017094,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fairfield County SDA School,"827 Trumbull Ave, Bridgeport, CT, 06606-2438, USA",827 Trumbull Ave,827,Trumbull Ave,Bridgeport,Greater Bridgeport Planning Region,CT,06606,06606-2438,USA,PK-08,https://www.adventisteducation.org/schools/AN4FFA,"At the Northeastern Adventist Academy- Fairfield County Campus, we are committed to educating children for Now and Eternity. Glorifying God in ALL that we do!",41.218119,-73.201015,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Laurel Oaks Adventist School,"14 W Shepard Ave, Hamden, CT, 06514-1120, USA",14 W Shepard Ave,14,W Shepard Ave,Hamden,South Central Connecticut Planning Region,CT,06514,06514-1120,USA,PK-08,https://www.adventisteducation.org/schools/AN4M60,,41.400823,-72.924541,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Northeastern Adventist Academy Hartford,"474 Woodland St, Hartford, CT, 06112-1839, USA",474 Woodland St,474,Woodland St,Hartford,Capitol Planning Region,CT,06112,06112-1839,USA,PK-10,https://www.adventisteducation.org/schools/AN4F45,"The NAA Hartford family exists to show children Jesus, nurture their love for Him and others, teach them to think, and empower them to serve.",41.782937,-72.695602,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Northeastern Adventist EC Acad. Hartford,"474 Woodland St, Hartford, CT, 06112-1839, USA",474 Woodland St,474,Woodland St,Hartford,Capitol Planning Region,CT,06112,06112-1839,USA,ECP,https://www.adventisteducation.org/schools/AN4F2U,,41.782937,-72.695602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dover First Christian School,"655 Wyoming Ave, Dover, DE, 19904-4306, USA",655 Wyoming Ave,655,Wyoming Ave,Dover,Kent County,DE,19904,19904-4306,USA,PK-08,https://www.adventisteducation.org/schools/ANB8DF,,39.144954,-75.533401,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Sharon Temple Child Care Learning Center,"2001 N Washington St, Wilmington, DE, 19802-4025, USA",2001 N Washington St,2001,N Washington St,Wilmington,New Castle County,DE,19802,19802-4025,USA,ECP,https://www.adventisteducation.org/schools/ANB42J,,39.754738,-75.544033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharon Temple Junior Academy,"2001 N Washington St, Wilmington, DE, 19802-4025, USA",2001 N Washington St,2001,N Washington St,Wilmington,New Castle County,DE,19802,19802-4025,USA,PK-08,https://www.adventisteducation.org/schools/ANB455,,39.754738,-75.544033,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Wilmington Jr. Academy,"3001 Mill Creek Rd, Wilmington, DE, 19808-1335, USA",3001 Mill Creek Rd,3001,Mill Creek Rd,Wilmington,New Castle County,DE,19808,19808-1335,USA,PK-08,https://www.adventisteducation.org/schools/ANB890,,39.751233,-75.66644,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Wilmington Jr. Academy Child Care,"3001 Mill Creek Rd, Wilmington, DE, 19808-1335, USA",3001 Mill Creek Rd,3001,Mill Creek Rd,Wilmington,New Castle County,DE,19808,19808-1335,USA,ECP,https://www.adventisteducation.org/schools/ANB8WC,,39.751233,-75.66644,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AdventHealth University,"671 Winyah Dr, Orlando, FL, 32803-1226, USA",671 Winyah Dr,671,Winyah Dr,Orlando,Orange County,FL,32803,32803-1226,USA,College,https://www.adventisteducation.org/schools/ANT1FM,,28.576128,-81.36762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adventist Christian Academy,"4416 Thys Rd, New Port Richey, FL, 34653-5800, USA",4416 Thys Rd,4416,Thys Rd,New Port Richey,Pasco County,FL,34653,34653-5800,USA,PK-08,https://www.adventisteducation.org/schools/ANTB78,,28.223471,-82.706669,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Adventist Christian Academy,"2700 Lisenby Ave, Panama City, FL, 32405-2708, USA",2700 Lisenby Ave,2700,Lisenby Ave,Panama City,Bay County,FL,32405,32405-2708,USA,PK-08,https://www.adventisteducation.org/schools/ANTG72,,30.197483,-85.682894,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Beryl Wisdom Adventist School,"4955 Rose Ave, Orlando, FL, 32808-5950, USA",4955 Rose Ave,4955,Rose Ave,Orlando,Orange County,FL,32808,32808-5950,USA,PK-08,https://www.adventisteducation.org/schools/ANTBBF,,28.610929,-81.443257,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bethel Jr. Academy-Florida City,"32900 SW 187th Ave, Florida City, FL, 33034-1610, USA",32900 SW 187th Ave,32900,SW 187th Ave,Florida City,Miami-Dade County,FL,33034,33034-1610,USA,PK-08,https://www.adventisteducation.org/schools/ANTTBE,,25.461224,-80.494046,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bethel Jr. Academy-Riviera Beach,"2850 Avenue F, Riviera Beach, FL, 33404-3700, USA",2850 Avenue F,2850,Ave F,Riviera Beach,Palm Beach County,FL,33404,33404-3700,USA,PK-08,https://www.adventisteducation.org/schools/ANTTPA,,26.785812,-80.057622,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Broward Junior Academy,"201 NW 46th Ave, Plantation, FL, 33317-3148, USA",201 NW 46th Ave,201,NW 46th Ave,Plantation,Broward County,FL,33317,33317-3148,USA,PK-10,https://www.adventisteducation.org/schools/ANTTBS,,26.123221,-80.211034,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Children's Academy at Loch Haven,"200 E Evans St, Orlando, FL, 32804-4612, USA",200 E Evans St,200,E Evans St,Orlando,Orange County,FL,32804,32804-4612,USA,ECP,https://www.adventisteducation.org/schools/ANTBLH,,28.57684,-81.37448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocoa Adventist Christian School,"1500 Cox Rd, Cocoa, FL, 32926-4742, USA",1500 Cox Rd,1500,Cox Rd,Cocoa,Brevard County,FL,32926,32926-4742,USA,PK-08,https://www.adventisteducation.org/schools/ANTB18,,28.382326,-80.786385,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Daughter of Zion Junior Academy,"250 NW 3rd Ave, Delray Beach, FL, 33444-2712, USA",250 NW 3rd Ave,250,NW 3rd Ave,Delray Beach,Palm Beach County,FL,33444,33444-2712,USA,PK-08,https://www.adventisteducation.org/schools/ANTTDA,,26.466086,-80.076514,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Daughter of Zion Junior Academy Day Care,"250 NW 3rd Ave, Delray Beach, FL, 33444-2712, USA",250 NW 3rd Ave,250,NW 3rd Ave,Delray Beach,Palm Beach County,FL,33444,33444-2712,USA,ECP,https://www.adventisteducation.org/schools/ANTTD2,,26.466086,-80.076514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deltona Adventist School,"1717 Catalina Blvd # 200, Deltona, FL, 32738-9541, USA",1717 Catalina Blvd # 200,1717,Catalina Blvd,Deltona,Volusia County,FL,32738,32738-9541,USA,PK-08,https://www.adventisteducation.org/schools/ANTB27,,28.94612,-81.224148,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
East Pasco Adventist Academy,"38434 Centennial Rd, Dade City, FL, 33525-1633, USA",38434 Centennial Rd,38434,Centennial Rd,Dade City,Pasco County,FL,33525,33525-1633,USA,PK-08,https://www.adventisteducation.org/schools/ANTBEA,,28.302298,-82.18027,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Elim Child Development Center,"4824 2nd Avenue South, St Petersburg, FL, 33711, USA",4824 2nd Avenue South,4824,2nd Ave S,St Petersburg,Pinellas County,FL,33711,33711,USA,ECP,https://www.adventisteducation.org/schools/ANTTD3,,27.768775,-82.69949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elim Junior Academy,"4824 2nd Ave S, Saint Petersburg, FL, 33711-1016, USA",4824 2nd Ave S,4824,2nd Ave S,Saint Petersburg,Pinellas County,FL,33711,33711-1016,USA,PK-08,https://www.adventisteducation.org/schools/ANTT15,,27.768775,-82.69949,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Emerald Coast Christian School,"119 Saint Mary Ave SW, Fort Walton Beach, FL, 32548-6646, USA",119 Saint Mary Ave SW,119,St Mary Ave SW,Fort Walton Beach,Okaloosa County,FL,32548,32548-6646,USA,PK-08,https://www.adventisteducation.org/schools/ANTGFW,"The Emerald Coast Christian School goal is to show children Jesus, nurture their love for Him and others, teach them to think, and to empower them to serve.",30.406448,-86.618589,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Ephesus Adventist Academy,"4011 N Shore Dr, West Palm Beach, FL, 33407-3535, USA",4011 N Shore Dr,4011,N Shore Dr,West Palm Beach,Palm Beach County,FL,33407,33407-3535,USA,PK-12,https://www.adventisteducation.org/schools/ANTT25,,26.750878,-80.07967,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Ephesus Christian Childcare Center,"1400 Palm Beach Lakes Blvd, West Palm Beach, FL, 33401-2415, USA",1400 Palm Beach Lakes Blvd,1400,Palm Beach Lakes Blvd,West Palm Beach,Palm Beach County,FL,33401,33401-2415,USA,ECP,https://www.adventisteducation.org/schools/ANTT22,,26.724445,-80.07196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephesus Junior Academy,"2760 Edgewood Ave W, Jacksonville, FL, 32209-2315, USA",2760 Edgewood Ave W,2760,Edgewood Ave W,Jacksonville,Duval County,FL,32209,32209-2315,USA,PK-08,https://www.adventisteducation.org/schools/ANTT20,,30.377352,-81.70955,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Forest City Adventist School,"7563 Forest City Rd, Orlando, FL, 32810-3709, USA",7563 Forest City Rd,7563,Forest City Rd,Orlando,Orange County,FL,32810,32810-3709,USA,PK-08,https://www.adventisteducation.org/schools/ANTB33,"Christian Education is a pledge to provide a Christ-centered curriculum which will promote the fullest development of the student’s spiritual, physical, mental, and social faculties. This school is dedicated to the philosophy of true education imparted by Christ.",28.62706,-81.411546,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Forest Lake Academy,"500 Education Loop, Apopka, FL, 32703-6176, USA",500 Education Loop,500,Education Loop,Apopka,Seminole County,FL,32703,32703-6176,USA,09-12,https://www.adventisteducation.org/schools/ANTB1F,"Forest Lake Academy is a college-preparatory Seventh-day Adventist Christian school dedicated to providing a challenging Christian education in an innovative, safe, and diverse environment.",28.670045,-81.436945,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
Forest Lake Education Center,"1275 Learning Loop, Longwood, FL, 32779-5840, USA",1275 Learning Loop,1275,Learning Loop,Longwood,Seminole County,FL,32779,32779-5840,USA,PK-08,https://www.adventisteducation.org/schools/ANTB36,,28.677881,-81.438398,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Gateway Christian School,"18440 US Highway 441, Mount Dora, FL, 32757-6707, USA",18440 US Highway 441,18440,US-441,Mount Dora,Lake County,FL,32757,32757-6707,USA,PK-08,https://www.adventisteducation.org/schools/ANTBMU,,28.823177,-81.652254,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
GMAA Early Childhood & Care Center,"500 NW 122nd Ave, Miami, FL, 33182-1200, USA",500 NW 122nd Ave,500,NW 122nd Ave,Miami,Miami-Dade County,FL,33182,33182-1200,USA,ECP,https://www.adventisteducation.org/schools/ANTBGC,,25.772301,-80.394132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greater Miami Adventist Academy,"500 NW 122nd Ave, Miami, FL, 33182-1200, USA",500 NW 122nd Ave,500,NW 122nd Ave,Miami,Miami-Dade County,FL,33182,33182-1200,USA,PK-12,https://www.adventisteducation.org/schools/ANTB29,,25.772301,-80.394132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Gulfcoast SDA Elementary School,"6001 7th Ave S, Saint Petersburg, FL, 33707-2404, USA",6001 7th Ave S,6001,7th Ave S,Saint Petersburg,Pinellas County,FL,33707,33707-2404,USA,PK-08,https://www.adventisteducation.org/schools/ANTB51,,27.763177,-82.716658,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Indigo Christian Jr. Academy,"401 N Williamson Blvd, Daytona Beach, FL, 32114-7101, USA",401 N Williamson Blvd,401,N Williamson Blvd,Daytona Beach,Volusia County,FL,32114,32114-7101,USA,PK-08,https://www.adventisteducation.org/schools/ANTB22,,29.193201,-81.082839,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
James E Sampson Memorial SDA School,"3201 Memory Ln, Fort Pierce, FL, 34981-4401, USA",3201 Memory Ln,3201,Memory Ln,Fort Pierce,St. Lucie County,FL,34981,34981-4401,USA,PK-08,https://www.adventisteducation.org/schools/ANTB60,,27.406667,-80.373355,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Kids Ark Development Center,"1226 Bunnell Rd, Altamonte Springs, FL, 32714-5407, USA",1226 Bunnell Rd,1226,Bunnell Rd,Altamonte Springs,Seminole County,FL,32714,32714-5407,USA,ECP,https://www.adventisteducation.org/schools/ANTBKA,,28.652364,-81.432243,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lauderhill Community Child Care Center,"1173 NW 40th Ave, Lauderhill, FL, 33313-6629, USA",1173 NW 40th Ave,1173,NW 40th Ave,Lauderhill,Broward County,FL,33313,33313-6629,USA,ECP,https://www.adventisteducation.org/schools/ANTBLN,,26.139719,-80.203746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LifePoint Academy of SDA,"4298 Livingston Rd, Jacksonville, FL, 32257-7019, USA",4298 Livingston Rd,4298,Livingston Rd,Jacksonville,Duval County,FL,32257,32257-7019,USA,PK-08,https://www.adventisteducation.org/schools/ANTB57,Building Leaders of Integrity through Academic Excellence in a Christ-entered Environment,30.176497,-81.607081,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Little Peek at Heaven Preschool,"400 NW 118th Ave, Plantation, FL, 33325-1826, USA",400 NW 118th Ave,400,NW 118th Ave,Plantation,Broward County,FL,33325,33325-1826,USA,ECP,https://www.adventisteducation.org/schools/ANTBL4,,26.12395,-80.30594,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Living Springs SDA Academy,"23901 NW 212th Ave, High Springs, FL, 32643-8754, USA",23901 NW 212th Ave,23901,NW 212th Ave,High Springs,Alachua County,FL,32643,32643-8754,USA,PK-08,https://www.adventisteducation.org/schools/ANTB81,,29.848539,-82.597814,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Maranatha Child Development Center,"18900 NW 32nd Ave, Miami Gardens, FL, 33056-3026, USA",18900 NW 32nd Ave,18900,NW 32nd Ave,Miami Gardens,Miami-Dade County,FL,33056,33056-3026,USA,ECP,https://www.adventisteducation.org/schools/ANTBD8,,25.947112,-80.255135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meadows Academy,"5779 County Road 427, Sanford, FL, 32773-6334, USA",5779 County Road 427,5779,County Rd 427 N,Sanford,Seminole County,FL,32773,32773-6334,USA,ECP,https://www.adventisteducation.org/schools/ANTBA4,,28.7428,-81.287197,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miami Springs Adventist School,"701 Curtiss Pkwy, Miami Springs, FL, 33166-7103, USA",701 Curtiss Pkwy,701,Curtiss Pkwy,Miami Springs,Miami-Dade County,FL,33166,33166-7103,USA,PK-08,https://www.adventisteducation.org/schools/ANTB69,,25.812816,-80.288694,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Miami Union Adventist Academy,"12600 NW 4th Ave, North Miami, FL, 33168-3628, USA",12600 NW 4th Ave,12600,NW 4th Ave,North Miami,Miami-Dade County,FL,33168,33168-3628,USA,PK-12,https://www.adventisteducation.org/schools/ANTTMJ,,25.890881,-80.205455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Mount Olivet SDA School,"3013 NW 11th St, Fort Lauderdale, FL, 33311-5617, USA",3013 NW 11th St,3013,NW 11th St,Fort Lauderdale,Broward County,FL,33311,33311-5617,USA,PK-08,https://www.adventisteducation.org/schools/ANTT30,,26.138286,-80.185217,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Mount Sinai Child Development Center,"2610 Orange Center Blvd, Orlando, FL, 32805-3546, USA",2610 Orange Center Blvd,2610,Orange Center Blvd,Orlando,Orange County,FL,32805,32805-3546,USA,ECP,https://www.adventisteducation.org/schools/ANTTD7,,28.530574,-81.412885,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mt. Calvary Junior Academy,"3111 E Wilder Ave, Tampa, FL, 33610-6428, USA",3111 E Wilder Ave,3111,E Wilder Ave,Tampa,Hillsborough County,FL,33610,33610-6428,USA,PK-08,https://www.adventisteducation.org/schools/ANTT35,"Mt. Calvary Jr. Academy is committed to a Christ-centered education, developing minds to learn, hearts to love, and hands to serve.",27.992109,-82.424922,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Mt. Calvary Pre-School,"3111 E Wilder Ave, Tampa, FL, 33610-6428, USA",3111 E Wilder Ave,3111,E Wilder Ave,Tampa,Hillsborough County,FL,33610,33610-6428,USA,ECP,https://www.adventisteducation.org/schools/ANTTD8,,27.992109,-82.424922,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naples Adventist Christian School,"2629 Horseshoe Dr S, Naples, FL, 34104-6122, USA",2629 Horseshoe Dr S,2629,Horseshoe Dr S,Naples,Collier County,FL,34104,34104-6122,USA,PK-08,https://www.adventisteducation.org/schools/ANTB75,Our mission is to provide an environment where students learn in harmony with God's Word and  achieve academic excellence.,26.162113,-81.775563,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
New Beginning Child Development Ctr,"2804 Edgewood Ave W, Jacksonville, FL, 32209-2317, USA",2804 Edgewood Ave W,2804,Edgewood Ave W,Jacksonville,Duval County,FL,32209,32209-2317,USA,ECP,https://www.adventisteducation.org/schools/ANTTD9,,30.376792,-81.709851,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hope SDA Learning Center,"545 E Campus Cir, Ft Lauderdale, FL, 33312-1905, USA",545 E Campus Cir,545,E Campus Cir,Ft Lauderdale,Broward County,FL,33312,33312-1905,USA,ECP,https://www.adventisteducation.org/schools/ANTTD0,,26.114365,-80.193332,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hope SDA School,"545 E Campus Cir, Ft Lauderdale, FL, 33312-1905, USA",545 E Campus Cir,545,E Campus Cir,Ft Lauderdale,Broward County,FL,33312,33312-1905,USA,PK-08,https://www.adventisteducation.org/schools/ANTTNH,New Hope SDA School and Learning Center is truly an extraordinary place of learning. Thanks to our Amazing staff each student is Challenged with rigorous standards in high academics and behavioral expectation equity and a solid foundation.,26.114365,-80.193332,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
North Tampa Christian Academy,"5585 E County Line Rd, Wesley Chapel, FL, 33544-9301, USA",5585 E County Line Rd,5585,E County Line Rd,Wesley Chapel,Hillsborough County,FL,33544,33544-9301,USA,PK-12,https://www.adventisteducation.org/schools/ANTB2C,,28.169117,-82.373268,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
North Tampa Christian Explorers,"5585 E County Line Rd, Wesley Chapel, FL, 33544-9301, USA",5585 E County Line Rd,5585,E County Line Rd,Wesley Chapel,Hillsborough County,FL,33544,33544-9301,USA,ECP,https://www.adventisteducation.org/schools/ANTB2N,,28.169117,-82.373268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocala Adventist Academy,"415 NE 41st Ave, Ocala, FL, 34470-1462, USA",415 NE 41st Ave,415,NE 41st Ave,Ocala,Marion County,FL,34470,34470-1462,USA,PK-08,https://www.adventisteducation.org/schools/ANTB84,,29.190528,-82.077412,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Okeechobee Adventist Christian School,"412 NW 6th St, Okeechobee, FL, 34972-2519, USA",412 NW 6th St,412,NW 6th St,Okeechobee,Okeechobee County,FL,34972,34972-2519,USA,PK-08,https://www.adventisteducation.org/schools/ANTB87,,27.24928,-80.833951,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Orlando Junior Academy,"30 E Evans St, Orlando, FL, 32804-3942, USA",30 E Evans St,30,E Evans St,Orlando,Orange County,FL,32804,32804-3942,USA,PK-08,https://www.adventisteducation.org/schools/ANTB90,,28.577384,-81.377766,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Osceola Adventist Christian School,"2395 Fortune Rd, Kissimmee, FL, 34744-3989, USA",2395 Fortune Rd,2395,Fortune Rd,Kissimmee,Osceola County,FL,34744,34744-3989,USA,PK-08,https://www.adventisteducation.org/schools/ANTB93,,28.305335,-81.346927,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Palm Bay SDA School,"3507 Carriage Gate Dr, West Melbourne, FL, 32904-9596, USA",3507 Carriage Gate Dr,3507,Carriage Gate Dr,West Melbourne,Brevard County,FL,32904,32904-9596,USA,PK-08,https://www.adventisteducation.org/schools/ANTTPB,The Palm Bay S.D.A. school exists to prepare students to emulate the culture of Christ in all areas of their lives,28.046208,-80.672313,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Palm Beach Bilingual Daycare,"2850 Avenue F, Riviera Beach, FL, 33404-3700, USA",2850 Avenue F,2850,Ave F,Riviera Beach,Palm Beach County,FL,33404,33404-3700,USA,ECP,https://www.adventisteducation.org/schools/ANTT2E,,26.785812,-80.057622,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pensacola Junior Academy,"8751 University Pkwy, Pensacola, FL, 32514-4910, USA",8751 University Pkwy,8751,University Pkwy,Pensacola,Escambia County,FL,32514,32514-4910,USA,PK-08,https://www.adventisteducation.org/schools/ANTG76,,30.52252,-87.22256,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Perrine Child Development Center,"9850 E Datura St, Miami, FL, 33157, USA",9850 E Datura St,9850,E Datura St,Miami,Miami-Dade County,FL,33157,33157,USA,ECP,https://www.adventisteducation.org/schools/ANTTE1,,25.607352,-80.349644,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perrine Seventh-day Adventist School,"9750 E Datura St, Miami, FL, 33157, USA",9750 E Datura St,9750,E Datura St,Miami,Miami-Dade County,FL,33157,33157,USA,PK-08,https://www.adventisteducation.org/schools/ANTTPF,,25.607147,-80.349111,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Port Charlotte Adventist School,"2100 Loveland Blvd, Port Charlotte, FL, 33980-5753, USA",2100 Loveland Blvd,2100,Loveland Blvd,Port Charlotte,Charlotte County,FL,33980,33980-5753,USA,PK-10,https://www.adventisteducation.org/schools/ANTBA3,,27.001642,-82.056995,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Sawgrass Adventist School,"11701 NW 4th St, Plantation, FL, 33325-2511, USA",11701 NW 4th St,11701,NW 4th St,Plantation,Broward County,FL,33325,33325-2511,USA,PK-08,https://www.adventisteducation.org/schools/ANTBA9,,26.124106,-80.305713,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Shiloh SDA School,"500 SW 17th Ave, Ocala, FL, 34471-1421, USA",500 SW 17th Ave,500,SW 17th Ave,Ocala,Marion County,FL,34471,34471-1421,USA,PK-08,https://www.adventisteducation.org/schools/ANTT40,We are a Seventh-day Adventist school.  Our staff is committed to providing quality education in a Christ-filled environment.,29.182906,-82.155114,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Tallahassee Adventist Christian Academy,"616 Capital Cir NE, Tallahassee, FL, 32301, USA",616 Capital Cir NE,616,Capital Cir NE,Tallahassee,Leon County,FL,32301,32301,USA,PK-08,https://www.adventisteducation.org/schools/ANTBB7,,30.443322,-84.227904,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
